session_id,item_id,obs1_action,obs1_actor,obs1_recipient,obs2_action,obs2_actor,obs2_recipient,obs1,obs2,match
5,13,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
5,14,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
5,15,Su,MUN,MUN,none,none,none,Su_MUN_MUN,none_none_none,0
5,16,M,MUN,MUN,M,MUN,MUN,M_MUN_MUN,M_MUN_MUN,1
5,17,M,MUN,MUN,M,MUN,FUN,M_MUN_MUN,M_MUN_FUN,0
5,18,none,none,none,M,MUN,FUN,none_none_none,M_MUN_FUN,0
5,19,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
5,20,Ag,MUN,MUN,Su,MUN,MUN,Ag_MUN_MUN,Su_MUN_MUN,0
5,21,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
5,22,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
5,23,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,1,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
6,2,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
6,3,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
6,4,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,5,Ag,MUN,JVUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
6,6,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,7,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,8,Gr,MUN,FUN,SGr,MUN,self,Gr_MUN_FUN,SGr_MUN_self,0
6,9,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
6,10,Gr,FUN,MUN,Gr,FUN,MUN,Gr_FUN_MUN,Gr_FUN_MUN,1
6,11,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,12,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,13,M,MUN,FUN,SGr,MUN,self,M_MUN_FUN,SGr_MUN_self,0
6,14,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,15,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
6,16,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,17,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,18,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
