time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
10:43:17,3/19/2023,2,AK,Ag,M041,M247,NA,M199,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:16:57,3/19/2023,1,CC,Ag,M145,M026,M105,M303,M303,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:17:45,3/19/2023,1,CC,Ag,M105,M242,M027,M042,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:33:14,3/19/2023,1,CC,Ag,M101,M066,NA,M146,M105,M006,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:22:09,3/20/2023,1,CC,Ag,M059,NA,NA,M014,M042,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:30:23,3/20/2023,1,CC,Ag,M308,NA,NA,M090,M145,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:41:28,3/20/2023,1,CC,Ag,M030,NA,NA,M242,M034,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:41:57,3/20/2023,1,CC,Ag,M011,M141,NA,M038,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:43:07,3/20/2023,1,CC,Ag,M030,M174,NA,M205,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:57:36,3/20/2023,2,AK,Ag,M126,NA,NA,M182,M103,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:08:28,3/20/2023,1,CC,Ag,M188,M150,NA,M064,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:08:39,3/20/2023,1,CC,Ag,M162,M030,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:05:27,3/20/2023,1,CC,Ag,M013,M027,NA,M011,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:59:03,3/21/2023,2,AK,Ag,M187,M063,NA,M155,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:21:17,3/21/2023,1,CC,Ag,M161,M090,NA,M013,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:39:56,3/21/2023,1,CC,Ag,M066,M303,M303,M162,M143,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:43:07,3/21/2023,2,AK,Ag,M227,NA,NA,M035,M077,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:47:34,3/21/2023,1,CC,Ag,M141,M221,NA,M162,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:09:01,3/21/2023,1,CC,Ag,M143,M074,NA,M105,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:30:10,3/21/2023,2,AK,Ag,M041,M010,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:07:09,3/21/2023,1,CC,Ag,M027,NA,NA,M064,M049,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:43:30,3/21/2023,1,CC,Ag,M059,M140,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:30:55,3/21/2023,1,CC,Ag,M059,M090,NA,M101,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:55:50,3/21/2023,2,AK,Ag,M044,M009,NA,M309,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
14:01:18,3/21/2023,1,CC,Ag,M013,NA,NA,M011,M026,M116,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:06:19,3/22/2023,1,CC,Ag,M030,M074,M013,M156,M049,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:18:44,3/22/2023,1,CC,Ag,M066,NA,NA,M011,M147,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:34:39,3/22/2023,1,CC,Ag,M014,M161,M121,M116,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:36:26,3/22/2023,1,CC,Ag,M092,NA,NA,M116,M026,M099,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:37:36,3/22/2023,1,CC,Ag,M100,M064,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:55:32,3/22/2023,1,CC,Ag,M082,NA,NA,M154,M093,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:58:29,3/22/2023,1,CC,Ag,M064,M013,NA,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:07:17,3/22/2023,1,CC,Ag,M002,M097,NA,M308,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:08:15,3/22/2023,1,CC,Ag,M027,NA,NA,M205,M074,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:16:47,3/22/2023,1,CC,Ag,M224,M049,NA,M202,M088,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:22:36,3/22/2023,1,CC,Ag,M049,M157,NA,M303,NA,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:48:31,3/22/2023,1,CC,Ag,M066,NA,NA,M105,M205,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:49:22,3/22/2023,1,CC,Ag,M066,M100,M146,M303,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
