id,davids_score,observability,age
M269,-11,NA,1824
M271,-12.16666667,0.455328203,1826
M270,0.833333333,NA,1831
M287,-3,NA,1563
M289,NA,NA,1165
M292,NA,NA,1536
M295,NA,NA,1117
M299,NA,NA,1157
M301,NA,NA,807
M302,4,NA,NA
