time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
9:25:28,3/15/2023,1,CC,Ag,M100,NA,NA,M209,M022,M042,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:04:33,3/15/2023,1,CC,Ag,M099,NA,NA,M034,M242,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:26:58,3/15/2023,1,CC,Ag,M074,NA,NA,M080,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:35:48,3/15/2023,1,CC,Ag,M074,NA,NA,M080,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:36:26,3/15/2023,1,CC,Ag,M074,NA,NA,M080,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:36:44,3/15/2023,1,CC,Ag,M074,M121,M151,M080,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:41:51,3/15/2023,1,CC,Ag,M202,NA,NA,M074,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:11:46,3/15/2023,1,CC,Ag,M151,NA,NA,M102,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
14:02:20,3/15/2023,1,CC,Ag,M112,NA,NA,M116,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:05:50,3/16/2023,1,CC,Ag,M006,M066,NA,M101,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:07:48,3/16/2023,1,CC,Ag,M242,NA,NA,M240,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:12:33,3/16/2023,1,CC,Ag,M030,NA,NA,M014,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:28:38,3/16/2023,1,CC,Ag,M006,M133,M173,M223,M066,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:30:47,3/16/2023,1,CC,M,M133,NA,NA,M173,NA,NA,Co-Ag,NA,No Value,NA,2PE,NA,4,4,0,5,NA,NA
8:39:51,3/16/2023,1,CC,Ag,M090,NA,NA,M252,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:52:37,3/16/2023,1,CC,Ag,M059,NA,NA,M014,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:53:01,3/16/2023,1,CC,Ag,M208,NA,NA,M014,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:12:50,3/16/2023,1,CC,Ag,M205,NA,NA,M223,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:24:05,3/16/2023,1,CC,Ag,M006,M168,M076,M205,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:33:09,3/16/2023,1,CC,Ag,M042,M027,M101,M223,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:02:42,3/17/2023,1,CC,Ag,M143,NA,NA,M076,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:04:18,3/17/2023,1,CC,Ag,M066,M095,NA,M011,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:32:49,3/17/2023,1,CC,Ag,M146,NA,NA,M221,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:33:58,3/17/2023,1,CC,Ag,M011,NA,NA,M146,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:39:59,3/17/2023,1,CC,Ag,M082,NA,NA,M101,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:47:07,3/17/2023,1,CC,Ag,M242,NA,NA,M173,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:48:59,3/17/2023,1,CC,M,M173,NA,NA,M242,NA,NA,Co-Ag,NA,No Value,NA,PE,NA,4,NA,NA,NA,NA,NA
8:49:27,3/17/2023,1,CC,M,M173,NA,NA,M242,NA,NA,R,NA,No Value,NA,PE,NA,9,NA,NA,NA,NA,NA
8:53:09,3/17/2023,1,CC,Ag,M133,NA,NA,M173,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:53:45,3/17/2023,1,CC,M,M133,NA,NA,M173,NA,NA,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:56:02,3/17/2023,1,CC,M,M198,NA,NA,M066,NA,NA,R,NA,No Value,NA,PE,Ejac,11,NA,NA,NA,NA,NA
9:00:22,3/17/2023,1,CC,Ag,M151,NA,NA,M192,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:01:27,3/17/2023,1,CC,Ag,M066,M162,NA,M146,M095,M157,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:04:03,3/17/2023,1,CC,Ag,M143,NA,NA,M095,M146,M014,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
